,CarID,Name,Amount,Region,use_type,Mileage
2367,/ufPVrH8AQIIX10Tt8IQZodJg,Ford Transit 2009 White,"₦ 2,110,500","Lagos State, Amuwo-Odofin",Foreign Used,150398 km
2368,/ByazQvkHZoDTuGhfS7Dd0g9h,Nissan Altima 2012 Black,"₦ 3,990,000","Lagos State, Alimosho",Foreign Used,194015 km
2369,/hLD5k7TzsPYFsJ1SwwUokotw,Toyota Corolla 2009 Gray,"₦ 4,680,000","Abuja (FCT), Garki 2",Nigerian Used,349147 km
2370,/8wemXa1nkkNBDTvfXGMFudDL,Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Black,"₦ 2,814,000","Akwa Ibom State, Uyo",Nigerian Used,114567 km
2371,/348MWd8WAgUFMDRfuV10kxb1,Toyota Camry 2006 Silver,"₦ 2,808,000","Abuja (FCT), Wuse",Nigerian Used,153575 km
2372,/9QGCfdERD3PSVl3Il8G2OKlc,Kia Mohave 2008 Black,"₦ 2,625,000","Abuja (FCT), Katampe",Nigerian Used,195125 km
2373,/nPLsSHFVoJ0Q6P2GQyBRtB6E,Honda Ridgeline 2008 Silver,"₦ 3,990,000","Lagos State, Ojodu",Foreign Used,153864 km
2374,/nGZmQSJoXjBCB6IuGYmT0oSb,Toyota Avalon 2006 Gray,"₦ 3,120,000","Lagos State, Apapa",Nigerian Used,110285 km
2375,/yD0SogASP4sSEg1Q7A4MfVx6,Toyota Highlander 2004 Gold,"₦ 2,625,000","Abuja (FCT), Katampe",Nigerian Used,120207 km
2376,/6tK9awnw3qseH2f6koi8bmpM,Hyundai Santa Fe 2007 Gray,"₦ 2,452,800","Lagos State, Ajah",Nigerian Used,389929 km
2377,/pMQU5wvB5X6lVe5uEIAUcXyb,Land Rover Range Rover Velar 2018 Gray,"₦ 54,080,000","Ondo State, Akure",Foreign Used,128787 km
2378,/chNY1Yq0EeY5LnCAeJ3YwVmy,Toyota Matrix 2004 Gray,"₦ 2,100,000","Lagos State, Ojodu",Nigerian Used,272514 km
2379,/zXkNzm8zxnxOtFH0ZtHuL5fy,Toyota Avensis 2007 Black,"₦ 1,848,000","Lagos State, Ilupeju",Nigerian Used,219491 km
2380,/yLsyDDxdVNgzZYVvdVpJD4Md,Toyota Camry 2007 Red,"₦ 2,772,000","Lagos State, Isolo",Nigerian Used,109417 km
